% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
7.244359600749898E-4                              -3.8864316993254396E-10-6.346348032318423E-7i     -7.605728977322102E-11-7.874921323384927E-7i      -2.9098771765361392E-11-8.414473598660997E-7i     -1.5510654430997197E-11-8.658978632833257E-7i     -9.664045898444107E-12-8.799969060016284E-7i
7.585775750291836E-4                              -4.0695922280644106E-10-6.346348656436139E-7i     -7.964175692082742E-11-7.874921364018742E-7i      -3.047015431248329E-11-8.414473607759817E-7i      -1.6241648967719324E-11-8.658978636314957E-7i     -1.011949831723197E-11-8.79996906171568E-7i
7.943282347242813E-4                              -4.261384645935124E-10-6.346349340766788E-7i      -8.339515443198626E-11-7.874921408572607E-7i      -3.190616808103266E-11-8.414473617736713E-7i      -1.7007094202885136E-11-8.658978640131954E-7i     -1.0596415542358394E-11-8.79996906357945E-7i
8.317637711026709E-4                              -4.4622157316078337E-10-6.346350091119645E-7i     -8.732544369488203E-11-7.874921457425194E-7i      -3.340985903965608E-11-8.414473628675927E-7i      -1.780861374598299E-11-8.658978644317102E-7i      -1.1095809178287385E-11-8.799969065623408E-7i
8.709635899560805E-4                              -4.6725114302475E-10-6.346350913864506E-7i        -9.14409612982666E-11-7.874921510990875E-7i       -3.4984416708155314E-11-8.414473640670488E-7i     -1.864790772463259E-11-8.65897864890657E-7i       -1.1618738504830693E-11-8.799969067863702E-7i
9.120108393559096E-4                              -4.89271775613378E-10-6.346351815984949E-7i       -9.575043671279614E-11-7.87492156972431E-7i       -3.663318092243887E-11-8.414473653822608E-7i      -1.952675639058833E-11-8.658978653938385E-7i      -1.2166312723908563E-11-8.799969070320108E-7i
9.549925860214359E-4                              -5.123301737746145E-10-6.346352805138454E-7i      -1.0026301080590278E-10-7.874921634124892E-7i     -3.835964891881603E-11-8.414473668243338E-7i      -2.0447023896026485E-11-8.658978659455625E-7i     -1.2739693312469775E-11-8.799969073013962E-7i
0.001                                             -5.364752407273477E-10-6.346353889722163E-7i      -1.0498825522848154E-10-7.87492170473825E-7i      -4.016748275160391E-11-8.414473684055541E-7i      -2.1410662247415984E-11-8.658978665505278E-7i     -1.334009648598043E-11-8.799969075967462E-7i
0.0010471285480508996                             -5.617581836627685E-10-6.346355078942631E-7i      -1.0993619271539966E-10-7.874921782164049E-7i     -4.206051706077595E-11-8.414473701393166E-7i      -2.2419715445972048E-11-8.658978672138937E-7i     -1.3968795778202078E-11-8.799969079206201E-7i
0.0010964781961431851                             -5.882326222146148E-10-6.346356382893455E-7i      -1.1511731834243062E-10-7.874921867059648E-7i     -4.404276720506295E-11-8.414473720403572E-7i      -2.3476323823253782E-11-8.658978679412706E-7i     -1.4627124742503903E-11-8.799969082757235E-7i
0.0011481536214968829                             -6.159547020223201E-10-6.346357812644572E-7i      -1.205426217842478E-10-7.874921960146261E-7i      -4.611843777905739E-11-8.414473741247897E-7i      -2.458272858075001E-11-8.658978687387199E-7i      -1.531647978037662E-11-8.799969086650886E-7i
0.001202264434617413                              -6.44983213630104E-10-6.346359380331775E-7i       -1.2622361062184337E-10-7.874922062213661E-7i     -4.829193153093718E-11-8.414473764103614E-7i      -2.5741276543897777E-11-8.658978696131858E-7i     -1.6038323103469843E-11-8.799969090920141E-7i
0.0012589254117941675                             -6.753797169655872E-10-6.346361099261918E-7i      -1.321723347474288E-10-7.874922174128176E-7i      -5.0567858701066825E-11-8.414473789164233E-7i     -2.6954425139728234E-11-8.65897870572008E-7i      -1.6794185835044295E-11-8.799969095601194E-7i
0.0013182567385564075                             -7.072086716588225E-10-6.346362984025716E-7i      -1.384014119189193E-10-7.874922296839886E-7i      -5.295104680002281E-11-8.414473816642459E-7i      -2.8224747609275617E-11-8.658978716233389E-7i     -1.7585671257535778E-11-8.799969100733911E-7i
